"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length"
"CU","2024-09-27","74.4","1.67","5.96","Suárez, Ranger",671277,624133,"strikeout","swinging_strike",,,,,7,"Luis García Jr.  strikes out swinging.","R","L","L","WSH","PHI","S",2,,1,2,2024,"-0.86","-0.97","-0.82","1.66",,,656448,2,2,"Bot",,,,,592663,,,-3.620690638707621,-108.29508091807612,0.10566112172462061,-6.182659167614527,18.605428398074565,-40.067252625163604,"3.44","1.64",,,,"74.7",2161,"6.5",744797,624133,592663,547180,681082,664761,607208,669720,669016,592206,"54.05",,0,"0",1,0,0,,24,4,"Curveball",6,0,6,0,0,6,6,0,"Standard","Standard",319,"-0.004","-0.165","59.91558","8.19325"
"FF","2024-09-27","92.6","2.01","5.81","Suárez, Ranger",671277,624133,,"ball",,,,,11,"Luis García Jr.  strikes out swinging.","R","L","L","WSH","PHI","B",,,0,2,2024,"0.44","0.83","-1.96","2.89",,,656448,2,2,"Bot",,,,,592663,,,-11.148348600844354,-134.59174992330213,-3.5560683302748917,7.4849426505713135,24.62674243147325,-21.426107112840928,"3.58","1.77",,,,"93.5",1836,"6.5",744797,624133,592663,547180,681082,664761,607208,669720,669016,592206,"53.97",,,,,,,,24,3,"4-Seam Fastball",6,0,6,0,0,6,6,0,"Standard","Standard",124,"0","0.022",,
"CU","2024-09-27","72.6","1.67","5.9","Suárez, Ranger",671277,624133,,"foul",,,,,14,"Luis García Jr.  strikes out swinging.","R","L","L","WSH","PHI","S",,,0,1,2024,"-0.65","-0.8","1.4","1.24",,,656448,2,2,"Bot",,,,,592663,,,0.5732999829002171,-105.7913950717442,-0.6102541774657327,-4.986340111050735,16.87049105527564,-38.342698964111904,"3.44","1.64",3,"43",-28,"73.1",2076,"6.5",744797,624133,592663,547180,681082,664761,607208,669720,669016,592206,"54.05",,,,,,,,24,2,"Curveball",6,0,6,0,0,6,6,0,"Standard","Standard",311,"0","-0.046","65.2795","7.76425"
"SI","2024-09-27","91.7","1.83","5.86","Suárez, Ranger",671277,624133,,"foul",,,,,4,"Luis García Jr.  strikes out swinging.","R","L","L","WSH","PHI","S",,,0,0,2024,"1.24","0.72","-0.41","2.32",,,656448,2,2,"Bot",,,,,592663,,,-8.367233013500144,-133.4179867440179,-4.725786419682747,16.55656206919649,24.882028468661908,-22.810548785626505,"3.44","1.64",239,"80",48,"92.5",1863,"6.5",744797,624133,592663,547180,681082,664761,607208,669720,669016,592206,"54.03",,,,,,,,24,1,"Sinker",6,0,6,0,0,6,6,0,"Standard","Standard",137,"0","-0.039","71.05275","6.90201"
"FF","2024-09-27","90.9","1.85","5.87","Suárez, Ranger",656448,624133,"force_out","hit_into_play",,,,,5,"Stone Garrett grounds into a force out, shortstop Trea Turner to second baseman Bryson Stott.   Keibert Ruiz out at 2nd.    Stone Garrett to 1st.","R","R","L","WSH","PHI","X",6,"ground_ball",2,0,2024,"0.26","0.93","-0.14","2.78",,,660688,1,2,"Bot",112.79,138.88,,,592663,,,-5.567370069559972,-132.44632283858553,-3.9213136834560305,4.125665438733708,24.329835114987844,-20.50991505786059,"3.64","1.77",57,"93.4",2,"91.7",1865,"6.4",744797,624133,592663,547180,681082,664761,607208,669720,669016,592206,"54.12",0.411,0.418,"0",1,0,0,2,23,3,"4-Seam Fastball",6,0,6,0,0,6,6,0,"Standard","Standard",133,"-0.004","-0.479","76.41569","7.28139"
"CH","2024-09-27","80.4","1.82","5.74","Suárez, Ranger",656448,624133,,"blocked_ball",,,,,13,"Stone Garrett grounds into a force out, shortstop Trea Turner to second baseman Bryson Stott.   Keibert Ruiz out at 2nd.    Stone Garrett to 1st.","R","R","L","WSH","PHI","B",,,1,0,2024,"0.73","0.09","-0.88","0.5",,,660688,1,2,"Bot",,,,,592663,,,-7.38068382898899,-116.84057126268718,-5.102201922503711,8.100213399190755,22.193592333755156,-30.581733018951596,"3.66","1.82",,,,"80.5",1235,"6.5",744797,624133,592663,547180,681082,664761,607208,669720,669016,592206,"54.03",,,,,,,,23,2,"Changeup",6,0,6,0,0,6,6,0,"Standard","Standard",117,"0","0.067",,
"FF","2024-09-27","90.5","1.74","5.95","Suárez, Ranger",656448,624133,,"ball",,,,,11,"Stone Garrett grounds into a force out, shortstop Trea Turner to second baseman Bryson Stott.   Keibert Ruiz out at 2nd.    Stone Garrett to 1st.","R","R","L","WSH","PHI","B",,,0,0,2024,"0.06","0.92","-1.38","3.08",,,660688,1,2,"Bot",,,,,592663,,,-7.938044012035348,-131.81832189606402,-3.3107894420703787,2.112437850662868,23.00010033691526,-20.831850989534054,"3.73","1.89",,,,"91.4",1931,"6.4",744797,624133,592663,547180,681082,664761,607208,669720,669016,592206,"54.1",,,,,,,,23,1,"4-Seam Fastball",6,0,6,0,0,6,6,0,"Standard","Standard",142,"0","0.043",,
"CH","2024-09-27","77","1.93","5.79","Suárez, Ranger",660688,624133,"single","hit_into_play",,,,,12,"Keibert Ruiz singles on a ground ball to center fielder Brandon Marsh.   Dylan Crews scores.    James Wood scores.","R","R","L","WSH","PHI","X",8,"ground_ball",0,1,2024,"0.96","0.16","1.3","2.44",686611,695578,,1,2,"Bot",115.73,100.03,,,592663,,,-3.0995362652714804,-112.13150763059478,-0.45273457528642147,8.663615172448957,19.835548783955325,-30.971469410092105,"3.25","1.5",113,"79.9",8,"77.3",1076,"6.4",744797,624133,592663,547180,681082,664761,607208,669720,669016,592206,"54.06",0.374,0.357,"0.9",1,1,0,4,22,2,"Changeup",4,0,4,0,0,6,6,0,"Strategic","Standard",130,"0.037","1.067","58.72602","6.89151"
"CU","2024-09-27","72.9","1.66","5.95","Suárez, Ranger",660688,624133,,"called_strike",,,,,6,"Keibert Ruiz singles on a ground ball to center fielder Brandon Marsh.   Dylan Crews scores.    James Wood scores.","R","R","L","WSH","PHI","S",,,0,0,2024,"-1.07","-0.65","0.81","2.34",686611,695578,,1,2,"Bot",,,,,592663,,,0.12802372612729312,-106.14844485731112,1.2183666073955652,-8.09883250451079,17.93558515183443,-37.49841706644584,"3.31","1.49",,,,"73.4",2061,"6.6",744797,624133,592663,547180,681082,664761,607208,669720,669016,592206,"53.92",,,,,,,,22,1,"Curveball",4,0,4,0,0,4,4,0,"Strategic","Standard",309,"0","-0.1",,
"FC","2024-09-27","83.5","2","5.92","Suárez, Ranger",660766,624133,"sac_bunt","hit_into_play",,,,,7,"Juan Yepez out on a sacrifice bunt, pitcher Ranger Suárez to first baseman Bryce Harper.   Dylan Crews to 3rd.    James Wood to 2nd.","R","R","L","WSH","PHI","X",1,"ground_ball",0,0,2024,"-0.43","0.29","-0.32","2.1",,686611,695578,0,2,"Bot",133.06,192.22,,,592663,,,-4.510334885379382,-121.52316133367225,-2.9404807625279754,-3.41095531603813,23.59220252437974,-28.924288930000394,"3.31","1.63",2,"31",-44,"84",2017,"6.6",744797,624133,592663,547180,681082,664761,607208,669720,669016,592206,"53.94",0.286,,"0.2",0,0,0,1,21,1,"Cutter",4,0,4,0,0,4,4,0,"Infield shade","Standard",215,"0.001","0",,
"SI","2024-09-27","90.9","1.77","5.93","Suárez, Ranger",695578,624133,"single","hit_into_play",,,,,5,"James Wood singles on a ground ball to left fielder Austin Hays.   Dylan Crews to 2nd.","R","L","L","WSH","PHI","X",7,"ground_ball",1,0,2024,"1.13","0.6","-0.26","2.74",,,686611,0,2,"Bot",69.03,126.48,,,592663,,,-7.557454241385286,-132.29589345016532,-3.4390717261453267,14.880187421783422,25.820022221712676,-24.52449453256333,"3.81","1.78",69,"97.4",1,"91.5",1923,"6.5",744797,624133,592663,547180,681082,664761,607208,669720,669016,592206,"54.04",0.409,0.378,"0.9",1,1,0,4,20,2,"Sinker",4,0,4,0,0,4,4,0,"Standard","Standard",147,"0.018","0.613","72.35766","6.47528"
"FC","2024-09-27","84.2","1.93","5.94","Suárez, Ranger",695578,624133,,"ball",,,,,13,"James Wood singles on a ground ball to left fielder Austin Hays.   Dylan Crews to 2nd.","R","L","L","WSH","PHI","B",,,0,0,2024,"-0.38","0.3","-1.95","1.1",,,686611,0,2,"Bot",,,,,592663,,,-8.260345545614042,-122.30262426476692,-5.438714754258246,-2.2166350149600156,24.270479822159903,-28.297754278261937,"3.98","1.9",,,,"84.3",2141,"6.5",744797,624133,592663,547180,681082,664761,607208,669720,669016,592206,"54.03",,,,,,,,20,1,"Cutter",4,0,4,0,0,4,4,0,"Standard","Standard",165,"0","0.062",,
"SI","2024-09-27","88.5","1.79","5.95","Suárez, Ranger",686611,624133,"walk","ball",,,,,12,"Dylan Crews walks.","R","R","L","WSH","PHI","B",,,3,1,2024,"1.02","0.34","0.29","3.52",,,,0,2,"Bot",,,,,592663,,,-5.77863599629395,-128.83329827816198,-0.5738263851139644,12.605161456470208,26.86838058501347,-28.534919363466418,"3.3","1.47",,,,"88.4",1882,"6.2",744797,624133,592663,547180,681082,664761,607208,669720,669016,592206,"54.3",,0.689131,"0.7",1,0,0,,19,5,"Sinker",4,0,4,0,0,4,4,0,"Standard","Standard",145,"0.012","0.258",,
"CU","2024-09-27","73.2","1.65","6.01","Suárez, Ranger",686611,624133,,"ball",,,,,12,"Dylan Crews walks.","R","R","L","WSH","PHI","B",,,2,1,2024,"-0.7","-0.73","1.12","3.48",,,,0,2,"Bot",,,,,592663,,,0.12272182542894913,-106.52585584198772,3.4872977696314105,-5.329737232750821,17.969000956840727,-38.541719536037874,"3.27","1.43",,,,"73.4",2078,"6.4",744797,624133,592663,547180,681082,664761,607208,669720,669016,592206,"54.12",,,,,,,,19,4,"Curveball",4,0,4,0,0,4,4,0,"Standard","Standard",314,"0","0.109",,
"SI","2024-09-27","89.2","1.93","5.9","Suárez, Ranger",686611,624133,,"foul",,,,,6,"Dylan Crews walks.","R","R","L","WSH","PHI","S",,,2,0,2024,"1.18","0.4","0.56","1.96",,,,0,2,"Bot",,,,,592663,,,-5.8536275778818245,-129.86081733234346,-4.52777509596027,14.61406831008763,25.884684856335195,-26.921356729769013,"3.06","1.39",2,"38.9",-45,"89.4",1837,"6.3",744797,624133,592663,547180,681082,664761,607208,669720,669016,592206,"54.2",,,,,,,,19,3,"Sinker",4,0,4,0,0,4,4,0,"Standard","Standard",142,"0","-0.058","75.14839","7.35155"
"FC","2024-09-27","85.7","1.77","5.98","Suárez, Ranger",686611,624133,,"ball",,,,,13,"Dylan Crews walks.","R","R","L","WSH","PHI","B",,,1,0,2024,"-0.18","0.52","-1.32","1.29",,,,0,2,"Bot",,,,,592663,,,-6.979034993744321,-124.65372929624189,-5.9153594634516375,-0.5767935841517159,23.71470824731638,-25.818285759590246,"3.28","1.44",,,,"86.3",1993,"6.6",744797,624133,592663,547180,681082,664761,607208,669720,669016,592206,"53.89",,,,,,,,19,2,"Cutter",4,0,4,0,0,4,4,0,"Standard","Standard",160,"0","0.061",,
"FC","2024-09-27","84.5","1.73","6","Suárez, Ranger",686611,624133,,"ball",,,,,13,"Dylan Crews walks.","R","R","L","WSH","PHI","B",,,0,0,2024,"-0.46","0.53","-1.68","0.84",,,,0,2,"Bot",,,,,592663,,,-7.004213637932067,-122.79328318300098,-6.7319192346578385,-3.3379629097538004,23.12521369954224,-25.678779903741905,"3.32","1.48",,,,"84.6",1982,"6.3",744797,624133,592663,547180,681082,664761,607208,669720,669016,592206,"54.2",,,,,,,,19,1,"Cutter",4,0,4,0,0,4,4,0,"Standard","Standard",158,"0","0.034",,
"SI","2024-09-27","90.4","1.69","5.98","Suárez, Ranger",683083,624133,"strikeout","called_strike",,,,,13,"Nasim Nuñez called out on strikes.","R","R","L","WSH","PHI","S",2,,1,2,2024,"1.09","0.63","-0.93","1.61",545121,,696285,2,1,"Bot",,,,,592663,,,-8.888782019247005,-131.31230789279851,-6.332264690462134,14.462522720874055,25.586037382433204,-23.72388409953625,"3.37","1.49",,,,"90.9",1804,"6.5",744797,624133,592663,547180,681082,664761,607208,669720,669016,592206,"54.01",,0,"0",1,0,0,,13,4,"Sinker",4,0,4,0,0,4,4,0,"Standard","Standard",144,"-0.019","-0.322",,
